Date,Portfolio_Return,Regime,Market_Return,Cumulative_Portfolio,Cumulative_Market,Portfolio_Return_Net,Cumulative_Portfolio_Net
2014-10-31,0.05446475487689837,Volatile,0.0250999999999999,3.280724486161362,2.0046257518999484,0.05346475487689837,3.1210318261560417
2014-11-30,0.015482686186743599,Volatile,0.0256,3.3315189138457644,2.055944171148587,0.014482686186743598,3.1662327506730987
2014-12-31,0.016879795424451588,Bull,-0.0005,3.3877542715641717,2.0549161990630127,0.015879795424451587,3.2165118790199863
2015-01-31,0.07268696153091517,Bull,-0.0308999999999999,3.63399983597755,1.9914192885119657,0.07168696153091517,3.447093842355024
2015-02-28,0.0002999023342124485,Bull,0.0613999999999999,3.6350896810108875,2.1136924328266002,-0.0007000976657875515,3.4446805400022407
2015-03-31,-0.0008738139993848537,Bull,-0.0109,3.6319132887586005,2.09065318530879,-0.0018738139993848537,3.438225849382976
2015-04-30,0.03722637144898478,Bull,0.006,3.7671162419164324,2.103197104420643,0.03622637144898478,3.562780296128225
2015-05-31,-0.0286263459722615,Bull,0.0138,3.659277469057607,2.132221224461648,-0.029626345972261502,3.4572281344519737
2015-06-30,0.005947335122521979,Bull,-0.0154,3.681040418472386,2.0993850176049387,0.004947335122521979,3.474332200628119
2015-07-31,-0.04431339363830231,Bull,0.0157,3.517921025410118,2.1323453623813364,-0.045313393638302314,3.316898417990828
2015-08-31,-0.02722214959358934,Bull,-0.0602,3.4221556529979704,2.00397817156598,-0.02822214959358934,3.2232884146515506
2015-09-30,0.08842030174985491,Bull,-0.0306,3.7247436884710226,1.9426564395160613,0.0874203017498549,3.5050692604872005
2015-10-31,0.020698960718757826,Bull,0.0775,3.801842011766125,2.093212313578556,0.019698960718757826,3.5741154821660635
2015-11-30,-0.0022551063184914344,Bull,0.0056999999999999,3.793268453823485,2.105143623765953,-0.0032551063184914344,3.5624813562770465
2015-12-31,-0.10998192012834367,Bull,-0.0215,3.3760775057097048,2.0598830358549853,-0.11098192012834367,3.167110334935994
2016-01-31,0.0026718674292923184,Bull,-0.0574,3.385097937235977,1.941645749596909,0.0016718674292923183,3.172405323549949
2016-02-29,0.06715971204495523,Bull,-0.0007,3.612440139944717,1.9402865975721912,0.06615971204495523,3.382290746245897
2016-03-31,0.0020273797463984666,Bull,0.0695,3.619763927919518,2.0751365161034587,0.0010273797463984666,3.385765643255021
2016-04-30,0.02963134372546104,Bull,0.0091,3.7270223970727256,2.0940202584000005,0.02863134372546104,3.482704663160912
2016-05-31,0.01623438804901158,Bull,0.0178,3.787528324934162,2.1312938189995205,0.015234388049011578,3.5357615374596074
2016-06-30,0.06935674372585622,Bull,-0.0003,4.050218956321042,2.130654430853821,0.06835674372585622,3.7774546827514737
2016-07-31,-0.035966772807755995,Bull,0.0394,3.9045456512973766,2.2146022154294616,-0.036966772807755996,3.6378143737026063
2016-08-31,0.01948998925151569,Bull,0.0049,3.9806452040732148,2.2254537662850655,0.01848998925151569,3.705077522371377
